date,p50 deploy/adservice,p50 deploy/cartservice,p50 deploy/checkoutservice,p50 deploy/currencyservice,p50 deploy/emailservice,p50 deploy/frontend,p50 deploy/loadgenerator,p50 deploy/paymentservice,p50 deploy/productcatalogservice,p50 deploy/recommendationservice,p50 deploy/redis-cart,p50 deploy/shippingservice,p95 deploy/adservice,p95 deploy/cartservice,p95 deploy/checkoutservice,p95 deploy/currencyservice,p95 deploy/emailservice,p95 deploy/loadgenerator,p95 deploy/paymentservice,p95 deploy/productcatalogservice,p95 deploy/recommendationservice,p95 deploy/redis-cart,p95 deploy/shippingservice,p99 deploy/adservice,p99 deploy/cartservice,p99 deploy/checkoutservice,p99 deploy/currencyservice,p99 deploy/emailservice,p99 deploy/frontend,p99 deploy/loadgenerator,p99 deploy/paymentservice,p99 deploy/productcatalogservice,p99 deploy/recommendationservice,p99 deploy/redis-cart,p99 deploy/shippingservice,🔒deploy/adservice,🔒deploy/cartservice,🔒deploy/checkoutservice,🔒deploy/currencyservice,🔒deploy/emailservice,🔒deploy/frontend,🔒deploy/loadgenerator,🔒deploy/paymentservice,🔒deploy/productcatalogservice,🔒deploy/recommendationservice,🔒deploy/redis-cart,🔒deploy/shippingservice,deploy/adservice,deploy/cartservice,deploy/checkoutservice,deploy/currencyservice,deploy/emailservice,deploy/frontend,deploy/loadgenerator,deploy/paymentservice,deploy/productcatalogservice,deploy/recommendationservice,deploy/redis-cart,deploy/shippingservice,p95 deploy/frontend
2021-10-07 09:18:00,3.1666666666666665,1.2571428571428571,23.333333333333332,0.5521472392638036,0.19999999999999998,43.23529411764706,0.7500000000000001,0.1875,0.5043731778425655,6.527777777777778,0.22500000000000003,0.5499999999999999,9.99999999999999,2.74,180.0,1.6666666666666647,0.5399999999999999,1.85,0.5249999999999998,0.9583090379008744,9.65277777777778,0.555,1.899999999999994,45.999999999999986,4.339999999999999,196.0,4.199999999999993,0.588,186.2,1.97,0.585,0.9986588921282796,9.930555555555555,0.591,3.78,3.8,6.3999999999999995,0.6,17.8,0.06,6.6,0.1,0.09,34.4,4.8,0.03,2.000200020002,0.2,0.2,0.2,0.2,0.06,0.4,0.2,0.06,0.2,0.2,0.06,0.2000200020002,130.9999999999999
2021-10-07 09:18:05,2.5,1.5,10.0,0.5521472392638036,0.22500000000000003,43.23529411764706,0.7500000000000001,0.1875,0.5063091482649843,6.527777777777778,0.22500000000000003,0.5499999999999999,3.728571428571428,3.200000000000001,92.5,1.6666666666666647,0.555,4.85,0.5249999999999998,0.96198738170347,9.65277777777778,0.555,1.899999999999994,3.9457142857142857,6.600000000000007,98.5,4.199999999999993,0.591,186.2,4.97,0.585,1.7899999999999952,9.930555555555555,0.591,3.78,3.6,6.6,0.4,17.8,0.12,6.6,0.1,0.09,31.9,4.8,0.03,2.000200020002,0.2,0.2,0.2,0.2,0.06,0.4,0.2,0.06,0.2,0.2,0.06,0.2000200020002,130.9999999999999
2021-10-07 09:18:10,2.5,1.5,10.0,0.5511363636363638,0.22500000000000003,41.07142857142856,0.7500000000000001,0.3,0.5063091482649843,5.625000000000001,0.22500000000000003,0.5526315789473685,3.728571428571428,3.200000000000001,92.5,1.8300000000000016,0.555,4.85,0.81,0.96198738170347,10.249999999999996,0.555,1.9499999999999988,3.9457142857142857,6.600000000000007,98.5,7.65000000000005,0.591,177.66666666666652,4.97,0.882,1.7899999999999952,18.049999999999997,0.591,4.790000000000001,3.6,6.6,0.4,19.200000000000003,0.12,6.3,0.1,0.12,31.9,3.7,0.03,1.9,0.2,0.2,0.2,0.2,0.06,0.4,0.2,0.06,0.2,0.2,0.06,0.2,99.02777777777774
2021-10-07 09:18:15,2.1944444444444446,1.3548387096774193,24.999999999999993,0.5511363636363638,0.26999999999999996,41.07142857142856,0.7500000000000001,0.3,0.5029069767441859,5.625000000000001,0.22500000000000003,0.5526315789473685,3.350000000000001,3.433333333333333,188.33333333333331,1.8300000000000016,0.7649999999999997,3.85,0.81,0.9555232558139533,10.249999999999996,0.555,1.9499999999999988,8.350000000000005,3.886666666666667,197.66666666666669,7.65000000000005,0.8729999999999999,177.66666666666652,3.97,0.882,0.995755813953488,18.049999999999997,0.591,4.790000000000001,3.1,6.6,0.5,19.200000000000003,0.21,6.3,0.1,0.12,34.4,3.7,0.03,1.9,0.2,0.2,0.2,0.2,0.06,0.4,0.2,0.06,0.2,0.2,0.06,0.2,99.02777777777774
2021-10-07 09:18:20,2.1944444444444446,1.3548387096774193,24.999999999999993,0.5419847328244275,0.26999999999999996,41.11111111111111,0.7500000000000001,0.26249999999999996,0.5029069767441859,5.3999999999999995,0.22500000000000003,0.52,3.350000000000001,3.433333333333333,188.33333333333331,1.4333333333333318,0.7649999999999997,3.85,0.565,0.9555232558139533,9.54,0.555,0.988,8.350000000000005,3.886666666666667,197.66666666666669,4.58,0.8729999999999999,287.9999999999999,3.97,0.5929999999999999,0.995755813953488,9.908,0.591,3.7399999999999975,3.1,6.6,0.5,14.0,0.21,5.5,0.1,0.15,34.4,4.3999999999999995,0.03,2.4,0.2,0.2,0.2,0.2,0.06,0.4,0.2,0.06,0.2,0.2,0.06,0.2,239.99999999999983
2021-10-07 09:18:25,2.076923076923077,1.4782608695652173,0.8333333333333333,0.5419847328244275,0.22500000000000003,41.11111111111111,0.7500000000000001,0.26249999999999996,0.5062761506276151,5.3999999999999995,0.22500000000000003,0.52,3.6,179.99999999999966,187.5,1.4333333333333318,0.8549999999999999,3.85,0.565,0.9619246861924686,9.54,0.555,0.988,4.72,890.0000000000007,197.5,4.58,0.891,287.9999999999999,3.97,0.5929999999999999,1.2900000000000005,9.908,0.591,3.7399999999999975,2.6,4.199999999999999,0.3,14.0,0.03,5.5,0.1,0.15,24.0,4.3999999999999995,0.03,2.4,0.2,0.2,0.2,0.2,0.06,0.4,0.2,0.06,0.2,0.2,0.06,0.2,239.99999999999983
2021-10-07 09:18:30,2.076923076923077,1.4782608695652173,0.8333333333333333,0.5597014925373134,0.22500000000000003,39.230769230769226,0.7500000000000001,0.15,0.5062761506276151,6.583333333333333,0.22500000000000003,0.5833333333333334,3.6,179.99999999999966,187.5,1.7727272727272714,0.8549999999999999,3.85,0.285,0.9619246861924686,9.658333333333331,0.555,4.3,4.72,890.0000000000007,197.5,3.499999999999991,0.891,864.9999999999989,3.97,0.297,1.2900000000000005,9.931666666666665,0.591,4.86,2.6,4.199999999999999,0.3,14.8,0.03,5.1,0.1,0.03,24.0,3.9,0.03,1.2000000000000002,0.2,0.2,0.2,0.2,0.06,0.4,0.2,0.06,0.2,0.2,0.06,0.2,229.9999999999992
2021-10-07 09:18:35,2.25,1.227272727272727,0.7500000000000001,0.5597014925373134,0.1875,39.230769230769226,0.75,0.15,0.503861003861004,6.583333333333333,0.22500000000000003,0.5833333333333334,5.999999999999978,2.616666666666666,9.25,1.7727272727272714,0.8249999999999998,3.85,0.285,0.9573359073359076,9.658333333333331,0.555,4.3,81.99999999999991,2.923333333333333,9.85,3.499999999999991,0.885,864.9999999999989,3.97,0.297,0.9976447876447878,9.931666666666665,0.591,4.86,3.4,5.3,0.1,14.8,0.09,5.1,0.0998901208670462,0.03,25.9,3.9,0.03,1.2000000000000002,0.2,0.2,0.2,0.2,0.06,0.4,0.1997802417340925,0.06,0.2,0.2,0.06,0.2,229.9999999999992
2021-10-07 09:18:40,2.25,1.227272727272727,0.7500000000000001,0.6239669421487604,0.1875,41.53846153846153,0.75,0.22500000000000003,0.503861003861004,5.166666666666666,0.22500000000000003,0.5384615384615385,5.999999999999978,2.616666666666666,9.25,4.690000000000001,0.8249999999999998,3.85,1.41,0.9573359073359076,22.833333333333336,0.8549999999999999,1.6,81.99999999999991,2.923333333333333,9.85,87.41666666666671,0.885,1928.8888888888887,3.97,1.4819999999999998,0.9976447876447878,28.566666666666663,0.891,3.72,3.4,5.3,0.1,14.9,0.09,5.8999999999999995,0.0998901208670462,0.12,25.9,4.1,0.03,2.6,0.2,0.2,0.2,0.2,0.06,0.4,0.1997802417340925,0.06,0.2,0.2,0.06,0.2,1644.444444444444
2021-10-07 09:18:45,2.0000000000000004,1.46875,10.0,0.6239669421487604,0.19999999999999998,41.53846153846153,0.75,0.22500000000000003,0.5750853242320819,5.166666666666666,0.22500000000000003,0.5384615384615385,27.6,1449.9999999999995,170.0,4.690000000000001,0.84,1.8499999999999996,1.41,2.4681818181818183,22.833333333333336,0.8549999999999999,1.6,29.52,1890.0,194.0,87.41666666666671,0.888,1928.8888888888887,1.97,1.4819999999999998,4.209999999999987,28.566666666666663,0.891,3.72,2.2,5.5,0.4,14.9,0.06,5.8999999999999995,0.1001101211332465,0.12,33.5,4.1,0.03,2.6,0.2,0.2,0.2,0.2,0.06,0.4,0.2002202422664931,0.06,0.2,0.2,0.06,0.2,1644.444444444444
